wavelength,flux
3272.83793,7.592684815e-17
3273.450255,7.219732234e-17
3274.06258,5.663778628e-17
3274.674905,6.0591076e-17
3275.28723,4.886086063e-17
3275.899555,3.677068251e-17
3276.51188,3.569960302e-17
3277.124205,4.98333022e-17
3277.73653,6.337705536e-17
3278.348855,4.966577983e-17
3278.96118,4.358035336e-17
3279.573505,4.878726393e-17
3280.18583,6.457283593e-17
3280.798155,6.496149385e-17
3281.41048,4.59194819e-17
3282.022805,4.182767149e-17
3282.63513,1.882818279e-17
3283.247455,2.059965765e-17
3283.85978,6.638714296e-17
3284.472105,5.714065346e-17
3285.08443,4.989074723e-17
3285.696755,5.366476396e-17
3286.30908,4.57944022e-17
3286.921405,4.722313277e-17
3287.53373,4.954455262e-17
3288.146055,5.677363189e-17
3288.75838,6.873631673e-17
3289.370705,6.054703447e-17
3289.98303,5.251927065e-17
3290.595355,6.23290801e-17
3291.20768,5.535480608e-17
3291.820005,5.27513047e-17
3292.43233,4.179001115e-17
3293.044655,4.947181503e-17
3293.65698,7.801998927e-17
3294.269305,7.716815787e-17
3294.88163,4.712233826e-17
3295.493955,4.534582006e-17
3296.10628,4.645188955e-17
3296.718605,4.893152226e-17
3297.33093,3.550183146e-17
3297.943255,3.733216061e-17
3298.55558,3.802482002e-17
3299.167905,4.070286298e-17
3299.78023,4.585110692e-17
3300.392555,6.220230854e-17
3301.00488,5.690537003e-17
3301.617205,4.808449357e-17
3302.22953,2.857604762e-17
3302.841855,1.754858834e-17
3303.45418,3.400032143e-17
3304.066505,4.894349187e-17
3304.67883,5.542033318e-17
3305.291155,4.747678852e-17
3305.90348,5.467829645e-17
3306.515805,6.17095037e-17
3307.12813,4.579635243e-17
3307.740455,6.358068866e-17
3308.35278,4.927495613e-17
3308.965105,4.911317637e-17
3309.57743,5.078598026e-17
3310.189755,3.365358873e-17
3310.80208,4.442666544e-17
3311.414405,4.122607565e-17
3312.02673,5.256975936e-17
3312.639055,4.977798687e-17
3313.25138,3.30701611e-17
3313.863705,5.409709822e-17
3314.47603,6.227714601e-17
3315.088355,2.871630414e-17
3315.70068,3.689540658e-17
3316.313005,4.696426181e-17
3316.92533,2.374750038e-17
3317.537655,2.602953904e-17
3318.14998,5.421549004e-17
3318.762305,5.173245968e-17
3319.37463,5.364877775e-17
3319.986955,4.640541618e-17
3320.59928,4.443662985e-17
3321.211605,3.387776965e-17
3321.82393,2.677625837e-17
3322.436255,4.645935354e-17
3323.04858,4.612136864e-17
3323.660905,4.620324288e-17
3324.27323,5.344926559e-17
3324.885555,4.889502519e-17
3325.49788,4.099816411e-17
3326.110205,4.161844781e-17
3326.72253,4.56384285e-17
3327.334855,3.930822486e-17
3327.94718,4.958674961e-17
3328.559505,5.148691626e-17
3329.17183,4.565811631e-17
3329.784155,4.032414447e-17
3330.39648,3.881946704e-17
3331.008805,4.128403611e-17
3331.62113,4.738620642e-17
3332.233455,4.84982271e-17
3332.84578,5.422560175e-17
3333.458105,4.516063713e-17
3334.07043,3.007646065e-17
3334.682755,5.645266447e-17
3335.29508,5.312462758e-17
3335.907405,5.231465045e-17
3336.51973,5.35035207e-17
3337.132055,2.868801481e-17
3337.74438,3.360912457e-17
3338.356705,3.422255884e-17
3338.96903,3.763239919e-17
3339.581355,4.5624159e-17
3340.19368,5.260930014e-17
3340.806005,3.778914973e-17
3341.41833,2.92853771e-17
3342.030655,4.997420402e-17
3342.64298,4.553184275e-17
3343.255305,5.294444323e-17
3343.86763,4.529145937e-17
3344.479955,3.462899131e-17
3345.09228,4.522135964e-17
3345.704605,4.828546476e-17
3346.31693,5.459499565e-17
3346.929255,5.732438044e-17
3347.54158,5.214443797e-17
3348.153905,4.572408283e-17
3348.76623,5.966556267e-17
3349.378555,4.382830343e-17
3349.99088,3.587376309e-17
3350.603205,4.729041766e-17
3351.21553,4.358996843e-17
3351.827855,5.6078119e-17
3352.44018,3.621599176e-17
