wavelength,flux,e_flux
2052.6000,1.1410987e-15,1.1410987e-15
2054.2000,1.2071515e-15,1.2071515e-15
2055.8000,1.1549055e-15,1.1549055e-15
2057.4000,1.1590795e-15,1.1590795e-15
2059.0000,1.1281022e-15,1.1281022e-15
2060.6000,1.1578789e-15,1.1578789e-15
2062.2000,1.1580189e-15,1.1580189e-15
2063.8000,1.0712705e-15,1.0712705e-15
2065.4000,1.1731913e-15,1.1731913e-15
2067.0000,1.2095487e-15,1.2095487e-15
2068.6000,1.2358348e-15,1.2358348e-15
2070.2000,1.2706988e-15,1.2706988e-15
2071.8000,1.2536618e-15,1.2536618e-15
2073.4000,1.1101202e-15,1.1101202e-15
2075.0000,1.0783517e-15,1.0783517e-15
2076.6000,1.1576515e-15,1.1576515e-15
2078.2000,1.1613773e-15,1.1613773e-15
2079.8000,1.1253303e-15,1.1253303e-15
2081.4000,1.0461046e-15,1.0461046e-15
2083.0000,9.7082389e-16,9.7082389e-16
2084.6000,9.8434818e-16,9.8434818e-16
2086.2000,9.6632489e-16,9.6632489e-16
2087.8000,1.0473468e-15,1.0473468e-15
2089.4000,9.601694e-16,9.601694e-16
2091.0000,1.0915814e-15,1.0915814e-15
2092.6000,1.0177811e-15,1.0177811e-15
2094.2000,9.3704392e-16,9.3704392e-16
2095.8000,1.0847105e-15,1.0847105e-15
2097.4000,1.1188552e-15,1.1188552e-15
2099.0000,1.0453796e-15,1.0453796e-15
2100.6000,1.0017466e-15,1.0017466e-15
2102.2000,9.3781231e-16,9.3781231e-16
2103.8000,9.1109248e-16,9.1109248e-16
2105.4000,9.0540051e-16,9.0540051e-16
2107.0000,9.174967e-16,9.174967e-16
2108.6000,8.9050822e-16,8.9050822e-16
2110.2000,8.6553285e-16,8.6553285e-16
2111.8000,9.0081297e-16,9.0081297e-16
2113.4000,9.9571139e-16,9.9571139e-16
2115.0000,1.0224472e-15,1.0224472e-15
2116.6000,9.9302657e-16,9.9302657e-16
2118.2000,8.7820782e-16,8.7820782e-16
2119.8000,9.2056269e-16,9.2056269e-16
2121.4000,9.6588534e-16,9.6588534e-16
2123.0000,8.1397413e-16,8.1397413e-16
2124.6000,9.6443543e-16,9.6443543e-16
2126.2000,8.8936478e-16,8.8936478e-16
2127.8000,9.0614593e-16,9.0614593e-16
2129.4000,8.4213109e-16,8.4213109e-16
2131.0000,8.0688872e-16,8.0688872e-16
2132.6000,8.5654914e-16,8.5654914e-16
2134.2000,7.9029608e-16,7.9029608e-16
2135.8000,9.2018873e-16,9.2018873e-16
2137.4000,8.8050063e-16,8.8050063e-16
2139.0000,8.1114292e-16,8.1114292e-16
2140.6000,8.798332e-16,8.798332e-16
2142.2000,9.3222723e-16,9.3222723e-16
2143.8000,1.0196806e-15,1.0196806e-15
2145.4000,1.025873e-15,1.025873e-15
2147.0000,9.7285777e-16,9.7285777e-16
2148.6000,9.6487923e-16,9.6487923e-16
2150.2000,9.3647063e-16,9.3647063e-16
2151.8000,9.5216337e-16,9.5216337e-16
2153.4000,1.0146459e-15,1.0146459e-15
2155.0000,9.3263888e-16,9.3263888e-16
2156.6000,9.3381675e-16,9.3381675e-16
2158.2000,1.0278321e-15,1.0278321e-15
2159.8000,1.0449251e-15,1.0449251e-15
2161.4000,1.0835525e-15,1.0835525e-15
2163.0000,9.9866345e-16,9.9866345e-16
2164.6000,1.0397507e-15,1.0397507e-15
2166.2000,1.0546994e-15,1.0546994e-15
2167.8000,1.0206097e-15,1.0206097e-15
2169.4000,1.0226526e-15,1.0226526e-15
2171.0000,1.1302791e-15,1.1302791e-15
2172.6000,1.0544906e-15,1.0544906e-15
2174.2000,1.049881e-15,1.049881e-15
2175.8000,9.3849532e-16,9.3849532e-16
2177.4000,9.6246064e-16,9.6246064e-16
2179.0000,9.775565e-16,9.775565e-16
2180.6000,9.5272718e-16,9.5272718e-16
2182.2000,9.7938456e-16,9.7938456e-16
2183.8000,1.0655924e-15,1.0655924e-15
2185.4000,1.0214851e-15,1.0214851e-15
2187.0000,9.3535765e-16,9.3535765e-16
2188.6000,9.5370737e-16,9.5370737e-16
2190.2000,1.0037431e-15,1.0037431e-15
2191.8000,9.7066074e-16,9.7066074e-16
2193.4000,1.0195174e-15,1.0195174e-15
2195.0000,9.5224329e-16,9.5224329e-16
2196.6000,1.0025883e-15,1.0025883e-15
2198.2000,1.0037449e-15,1.0037449e-15
2199.8000,9.6610732e-16,9.6610732e-16
2201.4000,9.2238377e-16,9.2238377e-16
2203.0000,8.3294342e-16,8.3294342e-16
2204.6000,9.2812277e-16,9.2812277e-16
2206.2000,8.8363123e-16,8.8363123e-16
2207.8000,9.3201874e-16,9.3201874e-16
2209.4000,9.2036955e-16,9.2036955e-16
2211.0000,9.0011537e-16,9.0011537e-16
2212.6000,9.5913969e-16,9.5913969e-16
2214.2000,8.6326965e-16,8.6326965e-16
2215.8000,9.9132129e-16,9.9132129e-16
2217.4000,8.5705513e-16,8.5705513e-16
2219.0000,8.600778e-16,8.600778e-16
2220.6000,9.1128497e-16,9.1128497e-16
2222.2000,9.6941848e-16,9.6941848e-16
2223.8000,8.6259992e-16,8.6259992e-16
2225.4000,9.1221363e-16,9.1221363e-16
2227.0000,9.0123519e-16,9.0123519e-16
2228.6000,9.8881789e-16,9.8881789e-16
2230.2000,8.4061214e-16,8.4061214e-16
2231.8000,9.1954204e-16,9.1954204e-16
2233.4000,9.6013602e-16,9.6013602e-16
2235.0000,8.6574239e-16,8.6574239e-16
2236.6000,8.9320558e-16,8.9320558e-16
2238.2000,1.0089147e-15,1.0089147e-15
2239.8000,1.0188247e-15,1.0188247e-15
2241.4000,1.01196e-15,1.01196e-15
2243.0000,1.0161801e-15,1.0161801e-15
2244.6000,1.0287627e-15,1.0287627e-15
2246.2000,9.9938951e-16,9.9938951e-16
2247.8000,1.0204045e-15,1.0204045e-15
2249.4000,1.0506921e-15,1.0506921e-15
2251.0000,1.0738836e-15,1.0738836e-15
2252.6000,1.0271794e-15,1.0271794e-15
2254.2000,1.0284654e-15,1.0284654e-15
2255.8000,1.0661898e-15,1.0661898e-15
2257.4000,1.1077395e-15,1.1077395e-15
2259.0000,1.1463753e-15,1.1463753e-15
2260.6000,1.0610944e-15,1.0610944e-15
2262.2000,1.0493256e-15,1.0493256e-15
2263.8000,9.363718e-16,9.363718e-16
2265.4000,9.444964e-16,9.444964e-16
2267.0000,9.1727921e-16,9.1727921e-16
2268.6000,1.0238969e-15,1.0238969e-15
2270.2000,1.0277635e-15,1.0277635e-15
2271.8000,1.0305658e-15,1.0305658e-15
2273.4000,1.0010183e-15,1.0010183e-15
2275.0000,1.089566e-15,1.089566e-15
2276.6000,1.0384822e-15,1.0384822e-15
2278.2000,1.0212021e-15,1.0212021e-15
2279.8000,1.0638665e-15,1.0638665e-15
2281.4000,1.066269e-15,1.066269e-15
2283.0000,1.1059384e-15,1.1059384e-15
2284.6000,1.0520142e-15,1.0520142e-15
2286.2000,1.0183781e-15,1.0183781e-15
2287.8000,1.0408843e-15,1.0408843e-15
2289.4000,9.8608275e-16,9.8608275e-16
2291.0000,9.6067223e-16,9.6067223e-16
2292.6000,9.992633e-16,9.992633e-16
2294.2000,1.0045311e-15,1.0045311e-15
2295.8000,9.6826634e-16,9.6826634e-16
2297.4000,1.0166656e-15,1.0166656e-15
2299.0000,1.0053735e-15,1.0053735e-15
2300.6000,9.9139957e-16,9.9139957e-16
2302.2000,1.0312404e-15,1.0312404e-15
2303.8000,1.0230735e-15,1.0230735e-15
2305.4000,1.0459179e-15,1.0459179e-15
2307.0000,1.0718217e-15,1.0718217e-15
2308.6000,1.0784552e-15,1.0784552e-15
2310.2000,9.6385514e-16,9.6385514e-16
2311.8000,9.5910404e-16,9.5910404e-16
2313.4000,9.4823722e-16,9.4823722e-16
2315.0000,1.0336185e-15,1.0336185e-15
2316.6000,9.856214e-16,9.856214e-16
2318.2000,9.8918189e-16,9.8918189e-16
2319.8000,1.0017147e-15,1.0017147e-15
2321.4000,1.0101929e-15,1.0101929e-15
2323.0000,9.746386e-16,9.746386e-16
2324.6000,1.1040682e-15,1.1040682e-15
2326.2000,1.1991816e-15,1.1991816e-15
2327.8000,1.0923466e-15,1.0923466e-15
2329.4000,1.0920557e-15,1.0920557e-15
