event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54423.9569,16.578,0.114,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54423.9581,15.150,0.077,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54423.9588,13.606,0.042,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.21960,13.456,0.007,F,H,,,2010AJ....139..519C
SN2007on,54424.21960,13.639,0.010,F,J,,,2010AJ....139..519C
SN2007on,54424.21960,13.561,0.008,F,Y,,,2010AJ....139..519C
SN2007on,54424.6926,13.435,0.040,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.7189,16.526,0.077,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.7204,13.055,0.041,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.7215,16.725,0.072,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.7229,15.242,0.063,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54424.7239,13.746,0.041,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54425.22418,13.470,0.007,F,B,,,2010AJ....139..519C
SN2007on,54425.22418,13.806,0.011,F,J,,,2010AJ....139..519C
SN2007on,54425.22418,13.082,0.007,F,V,,,2010AJ....139..519C
SN2007on,54425.22418,13.640,0.005,F,Y,,,2010AJ....139..519C
SN2007on,54425.22418,13.216,0.004,F,g,,,2010AJ....139..519C
SN2007on,54425.22418,13.646,0.011,F,i,,,2010AJ....139..519C
SN2007on,54425.22418,13.099,0.004,F,r,,,2010AJ....139..519C
SN2007on,54425.22418,14.504,0.010,F,u,,,2010AJ....139..519C
SN2007on,54426.15644,13.606,0.008,F,B,,,2010AJ....139..519C
SN2007on,54426.15644,13.530,0.008,F,H,,,2010AJ....139..519C
SN2007on,54426.15644,13.941,0.011,F,J,,,2010AJ....139..519C
SN2007on,54426.15644,16.174,0.052,F,K,,,2010AJ....139..519C
SN2007on,54426.15644,13.153,0.009,F,V,,,2010AJ....139..519C
SN2007on,54426.15644,13.677,0.012,F,Y,,,2010AJ....139..519C
SN2007on,54426.15644,13.337,0.006,F,g,,,2010AJ....139..519C
