event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010ai,55372.178,19.865,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55372.222,19.3827,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55373.185,19.664,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55373.228,19.960,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55374.206,20.142,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55374.250,19.523,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55375.206,19.3788,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55375.250,19.4083,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55376.201,19.766,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55376.244,19.827,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55377.196,19.810,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55377.240,19.702,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55378.193,20.058,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55378.240,19.809,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55379.191,20.104,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55379.235,20.097,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55380.187,19.802,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55380.230,19.899,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55381.205,20.396,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55381.248,19.942,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55382.202,20.002,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55382.248,20.095,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55383.205,20.041,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55383.249,20.170,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55384.246,20.171,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55385.197,19.969,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55385.240,19.978,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55386.192,19.969,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55386.235,20.124,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55387.212,20.158,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55388.208,20.150,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55388.258,20.296,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55390.176,20.228,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55390.219,20.036,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55391.194,20.000,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55391.238,20.172,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55392.200,19.870,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55392.243,20.166,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55394.173,21.055,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55394.216,20.342,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55395.182,19.950,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55395.225,20.531,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55396.182,20.074,,F,R,,P48,2014MNRAS.444.3258M
