Name,NED Object,Redshift,Same Name?,Disc. Date,,With Redshift,Without Redshift
SDSS-II SN 21577,SDSS-II SN 21577,0.466,TRUE,2007-11-02,,2007-11-02,2005-09-22
SDSS-II SN 15916,SDSS-II SN 15916,0.466256,TRUE,2006-10-23,,2006-10-23,2005-09-25
SDSS-II SN 4757,SDSS-II SN 04757,0.47,TRUE,2005-09-15,,2005-09-15,2005-09-10
SDSS-II SN 4808,SDSS-II SN 04808,0.47,TRUE,2005-10-01,,2005-10-01,2005-09-14
SNLS-05D3mx,[NSB2006] J142209.07+521309.3,0.47,FALSE,2005-07-29,,2005-07-29,2005-09-24
SDSS-II SN 14357,SDSS-II SN 14357,0.471,TRUE,2006-09-19,,2006-09-19,2005-09-09
SDSS-II SN 15817,SDSS-II SN 15817,0.472,TRUE,2006-10-20,,2006-10-20,2005-09-21
SNLS-04D4ju,GALEXASC J221702.63-171955.3,0.472,FALSE,2004-10-09,,2004-10-09,2005-09-13
SDSS-II SN 7939,SDSS-II SN 07939,0.473,TRUE,2005-10-30,,2005-10-30,2005-09-24
SDSS-II SN 16039,SDSS-II SN 16039,0.477,FALSE,2006-10-16,,2006-10-16,2005-09-21
SNLS-05D3dd,[NSB2006] J142230.41+523624.7,0.48,FALSE,2005-04-10,,2005-04-10,2005-09-14
SDSS-II SN 8128,SDSS-II SN 08128,0.482,TRUE,2005-10-21,,2005-10-21,2005-09-13
SDSS-II SN 4079,SDSS-II SN 04079,0.486,TRUE,2005-09-22,,2005-09-22,2005-09-13
SDSS-II SN 18139,SDSS-II SN 18139,0.486537,TRUE,2007-09-14,,2007-09-14,2005-09-21
SDSS-II SN 21347,SDSS-II SN 21347,0.486686,TRUE,2007-11-04,,2007-11-04,2005-09-26
SDSS-II SN 15008,SDSS-II SN 15008,0.493,FALSE,2006-09-17,,2006-09-17,2005-09-25
SDSS-II SN 17324,SDSS-II SN 17324,0.493,TRUE,2007-09-03,,2007-09-03,2005-09-03
SDSS-II SN 13452,SDSS-II SN 13452,0.494,TRUE,2006-09-15,,2006-09-15,2005-09-26
SDSS-II SN 13590,SDSS-II SN 13590,0.496861,FALSE,2006-09-11,,2006-09-11,2005-10-01
PSc110725,WISEA J084103.82+442914.1,0.497721,FALSE,2009-12-27,,2009-12-27,2005-09-26
SDSS-II SN 14090,SDSS-II SN 14090,0.498,FALSE,2006-09-16,,2006-09-16,2005-10-03
SNLS-03D1fb,WISEA J022712.85-040716.8,0.498,FALSE,2003-12-18,,2003-12-18,2005-10-01
SDSS-II SN 4078,SDSS-II SN 04078,0.5,TRUE,2005-09-15,,2005-09-15,2005-10-05
