Name,Band,Background,Background Error,Systematic Error
PSc091748,NUV,1.956181893872923e-17,2.891484610197172e-17,1.7805476057240416e-18
PSc100163,NUV,1.5044832883931107e-17,3.3257588739466507e-17,1.951538304529543e-18
PSc100164,NUV,6.302979769004918e-18,3.065038832885257e-17,1.4231248437184432e-18
PSc100206,NUV,5.949991998895684e-18,1.961989373109333e-17,8.737390047096732e-19
PSc100405,NUV,6.926529820533428e-17,4.894343489116793e-17,3.748334559064594e-18
PSc110014,NUV,9.473180659535673e-18,2.674259999888899e-17,2.7885403635547772e-18
PSc110725,NUV,3.54650322553061e-18,1.8084002304775322e-17,4.93064042534422e-18
PSc120111,FUV,7.375125350614211e-18,8.918319490647635e-18,5.168425185132045e-19
PSc120111,NUV,5.9896469044262676e-18,5.532757659431307e-17,1.3861481279801471e-18
PSc120706,FUV,1.3417486113987206e-17,7.53556403462324e-18,5.92816927445164e-19
PSc120706,NUV,2.118632457801977e-17,6.385925307974e-17,1.5095495387532377e-18
PSc130373,NUV,1.3320752717165916e-17,2.6494412180206534e-18,2.7541619414007916e-19
PSc140210,NUV,1.0848703470567964e-16,5.203202352711065e-18,4.763175399558098e-19
PSc150210,NUV,7.317572963478513e-18,7.584876597476048e-17,2.712513610287399e-18
PSc180255,NUV,8.207237406683445e-18,5.9573153757578356e-18,3.6185734539682586e-19
PSc180561,NUV,8.17821532190333e-18,2.511084551838194e-18,5.724750725332331e-19
PSc380204,NUV,1.0260519643113592e-17,2.3695793985219024e-18,7.182363750179515e-19
PSc500020,NUV,1.8916476289181058e-17,1.1764892948780627e-17,2.5140530087297276e-18
PSc500043,FUV,2.9360074798107645e-17,1.5081054632690472e-16,3.723361589603186e-18
PSc500043,NUV,2.5961668419713383e-17,9.543162212164642e-17,3.3187624099480824e-18
PSc500065,NUV,1.0056639009122963e-17,9.82277245632864e-18,1.825195098529746e-18
PSc550031,NUV,2.2161677678152445e-17,3.786872248597196e-18,2.739646330287551e-19
PSc580072,FUV,4.1966586260955704e-18,9.49528264419773e-17,1.7170956285270284e-18
PSc580072,NUV,9.130287677238412e-18,7.204500422490906e-17,1.7335010963990083e-18
PSc590191,FUV,1.4569643748685932e-17,9.088063200278731e-17,3.0112092825569173e-18
PSc590191,NUV,2.5791407502260378e-17,6.374130676642785e-17,2.4108846970718322e-18
PTF09foz,NUV,3.4653165295772177e-17,2.6607919794486485e-17,6.435824945635816e-18
PTF10cko,NUV,1.796455261599919e-16,3.6955409194207066e-17,1.9582456073915055e-17
PTF10fej,NUV,1.6455128358918234e-16,8.159736209406882e-17,9.139598705605392e-18
PTF10gsp,NUV,3.294555336540364e-17,1.762774850526557e-17,2.1838905025985544e-18
