File,SN,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
PSc170285-NUV.fits.gz,PSc170285,2011-05-30,16h16m09.313s,54d08m30.04s,pre_post_disc,62,60,2
PSc170539-NUV.fits.gz,PSc170539,2011-06-26,22h17m54.529s,1d22m41.5s,pre_post_disc,4,3,1
PSc170558-NUV.fits.gz,PSc170558,2011-06-26,22h18m45.773s,1d21m55.85s,pre_post_disc,3,2,1
PSc180255-NUV.fits.gz,PSc180255,2011-07-01,22h14m56.395s,0d32m39.24s,pre_post_disc,49,48,1
PSc180329-NUV.fits.gz,PSc180329,2011-07-12,22h17m20.245s,1d15m31.9s,pre_post_disc,10,9,1
PSc190062-NUV.fits.gz,PSc190062,2011-07-31,22h15m25.461s,0d40m47.77s,pre_post_disc,72,70,2
PSc190230-NUV.fits.gz,PSc190230,2011-08-18,22h15m44.873s,0d25m21.14s,pre_post_disc,154,153,1
PSc190269-NUV.fits.gz,PSc190269,2011-08-19,22h20m04.279s,-0d14m15s,pre_post_disc,38,37,1
PSc200058-NUV.fits.gz,PSc200058,2011-09-06,22h17m58.874s,-0d26m28.32s,pre_post_disc,40,39,1
PSc200132-NUV.fits.gz,PSc200132,2011-09-19,22h17m58.556s,-0d41m48.81s,pre_post_disc,5,4,1
PSc210027-NUV.fits.gz,PSc210027,2011-09-30,22h17m11.892s,1d04m34.96s,pre_post_disc,131,130,1
PSc340105-NUV.fits.gz,PSc340105,2010-09-12,2h23m52.675s,-3d38m04s,pre_post_disc,47,38,9
PSc350213-NUV.fits.gz,PSc350213,2012-01-24,10h04m06.984s,2d43m56.99s,pre_post_disc,43,42,1
PSc370589-NUV.fits.gz,PSc370589,2011-02-03,9h56m25.97s,3d27m17.1s,pre_post_disc,41,31,10
PSc380095-NUV.fits.gz,PSc380095,2010-02-25,14h08m51.157s,53d35m38.3s,pre_post_disc,18,7,11
PSc380204-NUV.fits.gz,PSc380204,2009-06-02,14h15m14.266s,53d05m16.23s,pre_post_disc,23,6,17
PSc380421-NUV.fits.gz,PSc380421,2010-05-14,14h07m27.685s,54d00m38.93s,pre_post_disc,19,17,2
PSc500020-NUV.fits.gz,PSc500020,2010-03-09,14h13m42.163s,52d28m14.71s,pre_post_disc,30,11,19
PSc500043-NUV.fits.gz,PSc500043,2011-01-11,9h59m44.791s,2d18m08.08s,pre_post_disc,292,281,11
PSc500065-NUV.fits.gz,PSc500065,2010-05-09,14h16m21.03s,54d08m05.62s,pre_post_disc,18,16,2
PSc520011-NUV.fits.gz,PSc520011,2010-04-19,14h19m17.434s,52d28m43.5s,pre_post_disc,253,237,16
PSc550031-NUV.fits.gz,PSc550031,2009-09-16,2h25m20.926s,-5d19m18.51s,pre_post_disc,49,24,25
PSc580006-NUV.fits.gz,PSc580006,2010-09-03,2h20m37.941s,-4d38m31.28s,pre_post_disc,70,60,10
PSc580010-NUV.fits.gz,PSc580010,2009-12-21,2h26m56.021s,-3d44m34.31s,pre_post_disc,50,40,10
PSc580024-NUV.fits.gz,PSc580024,2009-12-05,2h22m33.802s,-5d27m55.11s,pre_post_disc,28,25,3
PSc580072-NUV.fits.gz,PSc580072,2009-12-21,10h00m07.829s,2d01m25s,pre_post_disc,293,272,21
PSc590191-NUV.fits.gz,PSc590191,2010-03-09,10h00m33.072s,1d54m14.41s,pre_post_disc,162,151,11
PTF09djc-NUV.fits.gz,PTF09djc,2009-08-10,17h46m55.9s,59d12m04.86s,pre_post_disc,3,2,1
PTF09foz-NUV.fits.gz,PTF09foz,2009-10-09,0h42m11.893s,-9d52m54.65s,pre_post_disc,32,3,29
PTF10cko-NUV.fits.gz,PTF10cko,2010-02-24,12h11m15.37s,13d44m01.5s,pre_post_disc,3,2,1
PTF10feg-NUV.fits.gz,PTF10feg,2010-03-20,12h30m35.68s,15d47m38.9s,pre_post_disc,9,2,7
PTF10fxe-NUV.fits.gz,PTF10fxe,2010-04-25,9h45m09.71s,22d37m44s,pre_post_disc,3,1,2
PTF10goq-NUV.fits.gz,PTF10goq,2010-04-30,12h45m59.66s,4d49m29s,pre_post_disc,5,3,2
PTF10gsp-NUV.fits.gz,PTF10gsp,2010-04-27,13h53m35.97s,39d58m22.2s,pre_post_disc,5,3,2
PTF10hdm-NUV.fits.gz,PTF10hdm,2010-05-03,12h42m41.04s,5d11m07.1s,pre_post_disc,7,4,3
PTF10mtd-NUV.fits.gz,PTF10mtd,2010-06-24,14h01m59.62s,4d59m05.2s,pre_post_disc,37,36,1
PTF10qna-NUV.fits.gz,PTF10qna,2010-08-02,0h47m50.83s,-25d57m56.4s,pre_post_disc,5,4,1
PTF10rbp-NUV.fits.gz,PTF10rbp,2010-08-08,1h16m37.78s,-1d49m28.2s,pre_post_disc,2,1,1
PTF10rgn-NUV.fits.gz,PTF10rgn,2010-08-07,1h41m40.27s,30d49m26.9s,pre_post_disc,3,2,1
PTF10tqy-NUV.fits.gz,PTF10tqy,2010-08-31,0h42m41.52s,24d45m14.2s,pre_post_disc,4,3,1
PTF10trp-NUV.fits.gz,PTF10trp,2010-08-27,21h28m08.01s,9d51m14s,pre_post_disc,13,10,3
PTF10vnu-NUV.fits.gz,PTF10vnu,2010-09-16,1h11m03.36s,0d26m27.4s,pre_post_disc,8,3,5
PTF10vyv-NUV.fits.gz,PTF10vyv,2010-09-21,1h40m01.08s,-8d02m42.5s,pre_post_disc,3,2,1
PTF10wnt-NUV.fits.gz,PTF10wnt,2010-09-21,1h42m10.01s,-8d47m39.1s,pre_post_disc,6,5,1
PTF11dej-NUV.fits.gz,PTF11dej,2011-05-04,14h15m54.34s,30d22m09.9s,pre_post_disc,5,3,2
PTF11gdm-NUV.fits.gz,PTF11gdm,2011-06-21,16h56m23.7s,41d30m15.1s,pre_post_disc,4,3,1
PTF11hfu-NUV.fits.gz,PTF11hfu,2011-07-08,21h21m13.83s,2d19m11.9s,pre_post_disc,7,5,2
PTF11ilj-NUV.fits.gz,PTF11ilj,2011-07-21,0h35m44.05s,38d40m06.6s,pre_post_disc,3,1,2
PTF11kjl-NUV.fits.gz,PTF11kjl,2011-08-11,17h24m42.68s,73d20m59.3s,pre_post_disc,2,1,1
PTF11lnb-NUV.fits.gz,PTF11lnb,2011-09-02,1h50m40.9s,21d02m47s,post_disc,2,0,2
PTF11pdi-NUV.fits.gz,PTF11pdi,2011-10-22,1h53m36.63s,20d51m21.2s,post_disc,2,0,2
PTF11phm-NUV.fits.gz,PTF11phm,2011-10-25,2h01m42.59s,27d45m21s,pre_post_disc,4,3,1
PTF11wv-NUV.fits.gz,PTF11wv,2011-01-24,9h54m56.13s,4d07m41.5s,pre_post_disc,6,2,4
Rakke-FUV.fits.gz,Rakke,2004-12-16,3h32m18.15s,-27d44m10.55s,pre_post_disc,105,39,66
Rakke-NUV.fits.gz,Rakke,2004-12-16,3h32m18.15s,-27d44m10.55s,pre_post_disc,222,39,183
SCP-06H3-FUV.fits.gz,SCP-06H3,2006-04-04,14h34m28.879s,34d27m26.61s,post_disc,3,0,3
SCP-06H3-NUV.fits.gz,SCP-06H3,2006-04-04,14h34m28.879s,34d27m26.61s,pre_post_disc,39,12,27
SDSS-II_SN_10036-FUV.fits.gz,SDSS-II SN 10036,2005-11-03,1h35m27.336s,0d13m57.018s,pre_post_disc,4,2,2
SDSS-II_SN_10036-NUV.fits.gz,SDSS-II SN 10036,2005-11-03,1h35m27.336s,0d13m57.018s,pre_post_disc,4,2,2
SDSS-II_SN_10066-FUV.fits.gz,SDSS-II SN 10066,2005-11-03,21h36m00.72s,-0d03m14.868s,post_disc,53,0,53
SDSS-II_SN_10066-NUV.fits.gz,SDSS-II SN 10066,2005-11-03,21h36m00.72s,-0d03m14.868s,pre_post_disc,146,70,76
SDSS-II_SN_10113-FUV.fits.gz,SDSS-II SN 10113,2005-11-01,3h36m43.628s,-0d08m25.2s,pre_post_disc,5,1,4
SDSS-II_SN_10113-NUV.fits.gz,SDSS-II SN 10113,2005-11-01,3h36m43.628s,-0d08m25.2s,pre_post_disc,6,1,5
SDSS-II_SN_10146-FUV.fits.gz,SDSS-II SN 10146,2005-10-20,1h43m07.008s,1d15m04.824s,pre_post_disc,4,2,2
