Name,Host Name,NED Object,Redshift,Search
PS1-10bls,,PS1-10bls,0.276,Name
PS1-10byr,,PS1-10byr,0.24,Name
PS1-10byw,,WISEA J221528.12+013257.6,--,Location
PS1-10ia,,PS1-10ia,0.409,Name
PS1-10if,,PS1-10if,0.15,Name
PS1-10im,,PS1-10im,0.51,Name
PS1-10io,,PS1-10io,0.22,Name
PS1-10j,,PS1-10j,0.436,Name
PS1-10ka,,ELAIS02(R) J161110.1+550718,--,Location
PS1-10m,,PS1-10m,0.618,Name
PS1-10o,,PS1-10o,0.22,Name
PS1-10s,,PS1-10s,0.101,Name
PS1-11aac,,SDSS J141517.45+541755.5,--,Location
PS1-11at,,PS1-11at,0.32,Name
PS1-11bg,,PS1-11bg,0.329,Location
PS1-11bk,,PS1-11bk,0.16,Name
PS1-11fi,,PS1-11fi,0.082,Name
PS1-11kk,,PS1-11kk,0.3,Name
PS1-11kl,,SDSS J162120.06+550023.9,--,Location
PS1-11uw,,PS1-11uw,0.3,Name
PS1-11w,,PS1-11w,0.174,Name
PS1-11yj,,PS1-11yj,0.107,Name
