File,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
PSc080296-NUV.fits.gz,2010-08-27,2h21m49.682s,-3d55m16.97s,pre_post_disc,49,31,18
PSc080343-FUV.fits.gz,2010-08-31,3h37m28.646s,-27d43m23.52s,pre_disc,24,24,0
PSc080343-NUV.fits.gz,2010-08-31,3h37m28.646s,-27d43m23.52s,pre_post_disc,60,50,10
PSc080363-FUV.fits.gz,2009-09-15,3h26m38.821s,-27d55m14.34s,pre_disc,27,27,0
PSc080363-NUV.fits.gz,2009-09-15,3h26m38.821s,-27d55m14.34s,pre_post_disc,56,27,29
PSc080438-FUV.fits.gz,2010-09-08,3h31m44.958s,-27d40m58.79s,pre_disc,104,104,0
PSc080438-NUV.fits.gz,2010-09-08,3h31m44.958s,-27d40m58.79s,pre_post_disc,220,125,95
PSc080554-FUV.fits.gz,2010-09-03,2h21m00.039s,-3d40m18.75s,pre_disc,20,20,0
PSc080554-NUV.fits.gz,2010-09-03,2h21m00.039s,-3d40m18.75s,pre_post_disc,44,35,9
PSc080693-FUV.fits.gz,2010-09-17,23h30m56.547s,-0d51m26.61s,pre_disc,6,6,0
PSc080693-NUV.fits.gz,2010-09-17,23h30m56.547s,-0d51m26.61s,pre_disc,12,12,0
PSc080723-FUV.fits.gz,2010-09-29,2h19m56.728s,-3d57m38.18s,pre_disc,25,25,0
PSc080723-NUV.fits.gz,2010-09-29,2h19m56.728s,-3d57m38.18s,pre_post_disc,49,40,9
PSc080735-FUV.fits.gz,2010-09-29,22h15m29.67s,0d32m30.87s,pre_disc,28,28,0
PSc080735-NUV.fits.gz,2010-09-29,22h15m29.67s,0d32m30.87s,pre_post_disc,77,76,1
PSc080771-FUV.fits.gz,2010-09-13,3h28m16.421s,-28d08m49.41s,pre_disc,27,27,0
PSc080771-NUV.fits.gz,2010-09-13,3h28m16.421s,-28d08m49.41s,pre_post_disc,56,46,10
PSc080772-FUV.fits.gz,2010-09-16,3h31m35.901s,-28d14m27.1s,pre_disc,76,76,0
PSc080772-NUV.fits.gz,2010-09-16,3h31m35.901s,-28d14m27.1s,pre_post_disc,212,110,102
PSc090072-FUV.fits.gz,2010-10-06,8h42m23.584s,45d25m14.37s,pre_disc,7,7,0
PSc090072-NUV.fits.gz,2010-10-06,8h42m23.584s,45d25m14.37s,pre_disc,7,7,0
PSc090097-NUV.fits.gz,2010-09-27,23h28m20.865s,-0d57m34.36s,single,1,1,0
PSc090107-FUV.fits.gz,2010-09-27,2h22m57.885s,-4d18m40.25s,pre_disc,34,34,0
PSc090107-NUV.fits.gz,2010-09-27,2h22m57.885s,-4d18m40.25s,pre_post_disc,56,46,10
PSc090128-FUV.fits.gz,2010-10-07,2h24m04.603s,-3d13m33.83s,pre_disc,3,3,0
PSc090128-NUV.fits.gz,2010-10-07,2h24m04.603s,-3d13m33.83s,pre_post_disc,53,34,19
PSc090191-FUV.fits.gz,2010-10-08,8h41m34.61s,43d37m18.26s,pre_disc,7,7,0
PSc090191-NUV.fits.gz,2010-10-08,8h41m34.61s,43d37m18.26s,pre_disc,8,8,0
PSc090196-FUV.fits.gz,2010-10-06,2h19m24.164s,-4d35m03.99s,pre_disc,22,22,0
PSc090196-NUV.fits.gz,2010-10-06,2h19m24.164s,-4d35m03.99s,pre_post_disc,66,30,36
PSc090201-FUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc090201-NUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc090227-FUV.fits.gz,2010-10-08,8h35m17.508s,44d24m23.58s,pre_disc,7,7,0
PSc090227-NUV.fits.gz,2010-10-08,8h35m17.508s,44d24m23.58s,pre_disc,9,9,0
PSc090256-FUV.fits.gz,2010-09-27,23h31m41.265s,0d20m21s,pre_disc,181,181,0
PSc090256-NUV.fits.gz,2010-09-27,23h31m41.265s,0d20m21s,pre_disc,202,202,0
PSc090275-FUV.fits.gz,2010-10-13,3h36m17.301s,-28d03m05.44s,pre_disc,39,39,0
PSc090275-NUV.fits.gz,2010-10-13,3h36m17.301s,-28d03m05.44s,pre_post_disc,69,59,10
PSc090746-FUV.fits.gz,2010-11-01,8h38m52.218s,43d51m08.99s,pre_disc,7,7,0
PSc090746-NUV.fits.gz,2010-11-01,8h38m52.218s,43d51m08.99s,pre_disc,8,8,0
PSc090966-FUV.fits.gz,2010-10-13,22h12m56.579s,1d01m50.48s,pre_disc,14,14,0
PSc090966-NUV.fits.gz,2010-10-13,22h12m56.579s,1d01m50.48s,pre_post_disc,51,50,1
PSc091739-FUV.fits.gz,2010-10-13,2h27m58.329s,-4d01m29.39s,pre_disc,11,11,0
PSc091739-NUV.fits.gz,2010-10-13,2h27m58.329s,-4d01m29.39s,pre_post_disc,38,28,10
PSc091755-FUV.fits.gz,2010-10-29,3h29m45.74s,-26d34m55.63s,pre_disc,3,3,0
PSc091755-NUV.fits.gz,2010-10-29,3h29m45.74s,-26d34m55.63s,pre_disc,3,3,0
PSc091869-FUV.fits.gz,2010-10-24,23h27m37.793s,-1d45m44.83s,pre_disc,6,6,0
PSc091869-NUV.fits.gz,2010-10-24,23h27m37.793s,-1d45m44.83s,pre_disc,11,11,0
PSc100014-FUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc100014-NUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc100083-FUV.fits.gz,2010-11-03,22h15m24.128s,-0d52m01.12s,pre_disc,7,7,0
PSc100083-NUV.fits.gz,2010-11-03,22h15m24.128s,-0d52m01.12s,pre_disc,43,43,0
PSc100101-FUV.fits.gz,2010-11-02,8h48m33.834s,43d59m06.9s,pre_disc,7,7,0
PSc100101-NUV.fits.gz,2010-11-02,8h48m33.834s,43d59m06.9s,pre_disc,8,8,0
PSc100102-FUV.fits.gz,2010-11-03,8h40m04.552s,44d01m57.36s,pre_disc,7,7,0
PSc100102-NUV.fits.gz,2010-11-03,8h40m04.552s,44d01m57.36s,pre_disc,8,8,0
PSc100142-FUV.fits.gz,2010-11-02,23h32m12.561s,0d28m58.33s,pre_disc,125,125,0
PSc100142-NUV.fits.gz,2010-11-02,23h32m12.561s,0d28m58.33s,pre_disc,130,130,0
PSc100163-FUV.fits.gz,2010-11-10,2h21m46.162s,-5d09m05.76s,pre_disc,65,65,0
PSc100163-NUV.fits.gz,2010-11-10,2h21m46.162s,-5d09m05.76s,pre_post_disc,93,91,2
PSc100164-FUV.fits.gz,2010-10-29,2h21m28.917s,-5d01m34.02s,pre_disc,65,65,0
PSc100164-NUV.fits.gz,2010-10-29,2h21m28.917s,-5d01m34.02s,pre_post_disc,93,84,9
PSc100206-FUV.fits.gz,2010-11-07,3h30m04.362s,-28d15m24.09s,pre_disc,27,27,0
PSc100206-NUV.fits.gz,2010-11-07,3h30m04.362s,-28d15m24.09s,pre_post_disc,55,46,9
PSc100358-FUV.fits.gz,2010-11-07,23h29m46.67s,0d35m25.82s,pre_disc,12,12,0
PSc100358-NUV.fits.gz,2010-11-07,23h29m46.67s,0d35m25.82s,pre_disc,19,19,0
PSc100382-FUV.fits.gz,2010-11-01,8h42m02.297s,42d52m14.88s,pre_disc,2,2,0
PSc100382-NUV.fits.gz,2010-11-01,8h42m02.297s,42d52m14.88s,pre_disc,3,3,0
PSc100405-FUV.fits.gz,2010-11-24,3h34m30.852s,-27d19m14.09s,pre_disc,26,26,0
PSc100405-NUV.fits.gz,2010-11-24,3h34m30.852s,-27d19m14.09s,pre_post_disc,63,55,8
PSc100417-FUV.fits.gz,2010-11-09,8h36m41.291s,44d41m51.59s,pre_disc,6,6,0
PSc100417-NUV.fits.gz,2010-11-09,8h36m41.291s,44d41m51.59s,pre_disc,7,7,0
PSc110014-FUV.fits.gz,2010-11-07,22h18m27.834s,-0d09m45.94s,pre_disc,5,5,0
PSc110014-NUV.fits.gz,2010-11-07,22h18m27.834s,-0d09m45.94s,pre_post_disc,39,38,1
PSc110022-FUV.fits.gz,2010-11-30,8h38m44.162s,44d39m16s,pre_disc,7,7,0
PSc110022-NUV.fits.gz,2010-11-30,8h38m44.162s,44d39m16s,pre_disc,8,8,0
PSc110033-FUV.fits.gz,2010-12-06,2h19m36.752s,-3d31m45.28s,pre_disc,35,35,0
PSc110033-NUV.fits.gz,2010-12-06,2h19m36.752s,-3d31m45.28s,pre_disc,58,58,0
PSc110425-FUV.fits.gz,2010-12-16,8h48m02.754s,44d26m57.43s,pre_disc,8,8,0
PSc110425-NUV.fits.gz,2010-12-16,8h48m02.754s,44d26m57.43s,pre_disc,9,9,0
PSc110426-FUV.fits.gz,2010-12-16,8h40m03.15s,44d53m39.61s,pre_disc,7,7,0
PSc110426-NUV.fits.gz,2010-12-16,8h40m03.15s,44d53m39.61s,pre_disc,8,8,0
PSc110429-FUV.fits.gz,2010-11-30,8h42m53.22s,44d37m34.25s,pre_disc,8,8,0
PSc110429-NUV.fits.gz,2010-11-30,8h42m53.22s,44d37m34.25s,pre_disc,9,9,0
PSc110430-FUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc110430-NUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
PSc110464-FUV.fits.gz,2010-11-30,8h47m03.813s,44d16m52.19s,pre_disc,14,14,0
PSc110464-NUV.fits.gz,2010-11-30,8h47m03.813s,44d16m52.19s,pre_disc,16,16,0
PSc110476-FUV.fits.gz,2010-12-15,10h05m18.648s,2d04m58.9s,pre_disc,16,16,0
PSc110476-NUV.fits.gz,2010-12-15,10h05m18.648s,2d04m58.9s,pre_post_disc,38,28,10
PSc110647-FUV.fits.gz,2010-12-15,3h36m40.277s,-27d03m56.83s,pre_disc,26,26,0
PSc110647-NUV.fits.gz,2010-12-15,3h36m40.277s,-27d03m56.83s,pre_disc,62,62,0
PSc110725-FUV.fits.gz,2009-12-27,8h41m03.877s,44d29m11.67s,pre_disc,7,7,0
PSc110725-NUV.fits.gz,2009-12-27,8h41m03.877s,44d29m11.67s,pre_post_disc,8,7,1
PSc110726-FUV.fits.gz,2010-12-18,8h43m01.515s,44d29m45.06s,pre_disc,9,9,0
PSc110726-NUV.fits.gz,2010-12-18,8h43m01.515s,44d29m45.06s,pre_disc,10,10,0
PSc110734-FUV.fits.gz,2010-12-31,8h44m16.542s,45d20m39.13s,pre_disc,8,8,0
PSc110734-NUV.fits.gz,2010-12-31,8h44m16.542s,45d20m39.13s,pre_disc,8,8,0
PSc120039-FUV.fits.gz,2010-12-30,9h56m26.084s,1d32m06.38s,pre_disc,17,17,0
PSc120039-NUV.fits.gz,2010-12-30,9h56m26.084s,1d32m06.38s,pre_post_disc,38,29,9
PSc120111-FUV.fits.gz,2010-12-30,10h00m53.74s,2d31m18.9s,pre_disc,136,136,0
PSc120111-NUV.fits.gz,2010-12-30,10h00m53.74s,2d31m18.9s,pre_post_disc,176,166,10
PSc120223-FUV.fits.gz,2011-01-02,9h59m02.791s,3d07m38.38s,pre_disc,21,21,0
PSc120223-NUV.fits.gz,2011-01-02,9h59m02.791s,3d07m38.38s,pre_post_disc,42,33,9
PSc120553-FUV.fits.gz,2011-01-22,8h43m49.125s,44d08m03.13s,pre_disc,12,12,0
PSc120553-NUV.fits.gz,2011-01-22,8h43m49.125s,44d08m03.13s,pre_disc,13,13,0
PSc120554-FUV.fits.gz,2011-01-15,8h42m58.966s,44d09m16.72s,pre_disc,7,7,0
PSc120554-NUV.fits.gz,2011-01-15,8h42m58.966s,44d09m16.72s,pre_disc,8,8,0
