File,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
CSS130315_131135-042408-FUV.fits.gz,single,1,1,0
CSS130315_131135-042408-NUV.fits.gz,pre_disc,2,2,0
CSS130317_082848+293031-FUV.fits.gz,pre_disc,2,2,0
CSS130317_082848+293031-NUV.fits.gz,pre_disc,2,2,0
CSS130413_130441+315257-FUV.fits.gz,pre_disc,2,2,0
CSS130413_130441+315257-NUV.fits.gz,pre_disc,2,2,0
CSS130421_145636+174410-FUV.fits.gz,single,1,1,0
CSS130421_145636+174410-NUV.fits.gz,single,1,1,0
CSS130502_102512+302715-FUV.fits.gz,pre_disc,4,4,0
CSS130502_102512+302715-NUV.fits.gz,pre_disc,4,4,0
CSS130502_114010+300146-FUV.fits.gz,single,1,1,0
CSS130502_114010+300146-NUV.fits.gz,single,1,1,0
CSS130502_114010+3001461-FUV.fits.gz,single,1,1,0
CSS130502_114010+3001461-NUV.fits.gz,single,1,1,0
CSS130502_115738+333229-FUV.fits.gz,single,1,1,0
CSS130502_115738+333229-NUV.fits.gz,single,1,1,0
CSS130509_165032+494344-FUV.fits.gz,pre_disc,2,2,0
CSS130509_165032+494344-NUV.fits.gz,pre_disc,2,2,0
CSS130512_144703+034951-FUV.fits.gz,pre_disc,3,nan,nan
CSS130512_144703+034951-NUV.fits.gz,pre_disc,3,nan,nan
CSS130905_015812-041446-FUV.fits.gz,pre_disc,2,2,0
CSS130905_015812-041446-NUV.fits.gz,pre_disc,3,3,0
CSS130913_013913-025241-FUV.fits.gz,single,1,1,0
CSS130913_013913-025241-NUV.fits.gz,single,1,1,0
CSS130924_004234+151746-FUV.fits.gz,post_disc,2,nan,nan
CSS130924_004234+151746-NUV.fits.gz,post_disc,2,nan,nan
CSS130925_225818-090644-FUV.fits.gz,single,1,1,0
CSS130925_225818-090644-NUV.fits.gz,pre_disc,2,2,0
CSS130930_020518+000556-FUV.fits.gz,pre_disc,2,2,0
CSS130930_020518+000556-NUV.fits.gz,pre_disc,2,2,0
CSS131003_030909-113532-FUV.fits.gz,pre_disc,4,4,0
CSS131003_030909-113532-NUV.fits.gz,pre_disc,4,4,0
CSS131004_231555+224932-FUV.fits.gz,pre_disc,2,nan,nan
CSS131004_231555+224932-NUV.fits.gz,pre_disc,3,nan,nan
CSS131023_221244+014803-FUV.fits.gz,pre_disc,2,2,0
CSS131023_221244+014803-NUV.fits.gz,pre_disc,4,4,0
CSS131031_095508+064831-FUV.fits.gz,pre_disc,4,4,0
CSS131031_095508+064831-NUV.fits.gz,pre_disc,4,4,0
