name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
ESSENCEn404,ESSENCE n404,02h31m31.430s,-08d55m11.52s,,,,,,,9.0,SN,,0.079,0.009000000000000001,2007ApJ...666..674M,,0.0,,SDSS J023131.56-085510.7,2h31m31.43s,-8d55m11.5s,
ESSENCEn406,ESSENCE n406 HOST,02h31m19.60s,-08d45m09.8s,,,,,,,,G,,0.08,0.009000000000000001,2007ApJ...666..674M,,0.001,,,2h31m19.6s,-8d45m09.8s,
ESSENCEp434,ESSENCE p434 HOST,01h12m40.25s,+00d14m56.6s,0.339,,101629.6575,,1447.3,101.31,,G,,0.094,0.01,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,1h12m40.25s,0d14m56.6s,
ESSENCEp445,ESSENCE p445,01h13m14.5470s,+00d48m47.659s,0.8069,0.0002,241902.56825,59.9585,3451.2,241.59,,SN,,0.067,0.006999999999999999,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,1h13m14.547s,0d48m47.659s,
ESSENCEp454,ESSENCE p454,02h08m32.450s,-03d33m34.20s,,,,,,,6.0,SN,,0.063,0.006999999999999999,2007ApJ...666..674M,,0.0,,,2h08m32.45s,-3d33m34.2s,
ESSENCEp455,ESSENCE p455 HOST,02h11m00.02s,-04d09m37.6s,0.298,,89338.165,,1272.58,89.08,9.0,G,,0.055,0.006,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,2h11m00.02s,-4d09m37.6s,
ESSENCEp459,ESSENCE p459,02h10m20.0820s,-04d33m13.440s,0.7020000000000001,0.004,210454.335,1199.17,3002.81,210.89,,SN,,0.06,0.006999999999999999,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h10m20.082s,-4d33m13.44s,
ESSENCEp520,ESSENCE p520,02h08m09.340s,-03d48m05.05s,,,,,,,,SN,,0.063,0.006999999999999999,2007ApJ...666..674M,,0.001,,,2h08m09.34s,-3d48m05s,
ESSENCEp524,ESSENCE p524,02h30m10.160s,-08d52m50.84s,,,,,,,10.0,SN,,0.09699999999999999,0.011000000000000001,2007ApJ...666..674M,,0.001,,,2h30m10.16s,-8d52m50.8s,
ESSENCEp527,WISEA J020810.39-033217.4,02h08m10.47s,-03d32m17.7s,0.435,,130409.7375,,1859.26,130.15,,G,,0.067,0.006999999999999999,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,2h08m10.47s,-3d32m17.7s,
ESSENCEp528,ESSENCE p528 HOST,02h07m04.66s,-03d28m04.4s,0.7809999999999999,,234137.9425,,3341.07,233.88,8.0,G,,0.065,0.006999999999999999,2007ApJ...666..674M,2007ApJ...666..674M,0.001,0.0,,2h07m04.66s,-3d28m04.4s,
ESSENCEp534,ESSENCE p534 HOST,02h04m56.09s,-03d49m03.7s,0.619,,185571.5575,,2647.24,185.31,5.0,G,,0.067,0.006999999999999999,2007ApJ...666..674M,2007ApJ...666..674M,0.001,0.0,,2h04m56.09s,-3d49m03.7s,
ESSENCEq002,ESSENCE q002,02h05m12.9450s,-03d39m00.723s,0.3469,0.0002,103998.01825,59.9585,1481.91,103.74,,SN,,0.064,0.006999999999999999,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h05m12.945s,-3d39m00.723s,
ESSENCEq006,ESSENCE q006,02h10m52.2760s,-03d57m39.374s,0.29,0.01,86939.825,2997.925,1238.31,96.69,,SN,,0.061,0.006999999999999999,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h10m52.276s,-3d57m39.374s,
ESSENCEq018,WISEA J023139.05-081804.5,02h31m39.049s,-08d18m04.37s,,,,,,,,G,,0.096,0.011000000000000001,2007SDSS6.C...0000:,,0.015,,,2h31m39.017s,-8d18m05.17s,
ESSENCEq021,ESSENCE q021,02h33m43.9190s,-08d05m50.050s,0.36,0.01,107925.3,2997.925,1538.56,115.9,,SN,,0.105,0.012,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h33m43.919s,-8d05m50.05s,
ESSENCEs354,ESSENCE s354,02h06m10.4820s,-05d05m23.000s,0.5588,0.0004,167524.049,119.917,2389.46,167.27,,SN,,0.057999999999999996,0.006,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h06m10.482s,-5d05m23s,
