Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
PSc570062,2013/10/19,19.55,,23:32:24.413,+00:17:44.12,0.12354,Ia,20.0,,,,4461.0,4461.0
PTF10ncy,2010/06/28,19.55,,"16:50:20.18,16:50:20.16","+46:58:07.0,+46:58:06.96",0.13,Ia,18.0,1.0,,,3032.0,3032.0
SN2006iz,2006/09/30,19.56,SDSS J11617.19+003334.2,"21:16:17.20,21:16:17.28","+00:33:34.2,+00:33:34.16,+00:33:34.171,+00:33:33.858","0.12,0.14",Ia,77.0,,,,5647.0,4564.0
SN2006pr,2006/11/14,19.57,SDSS J13414.78-002413.2,"01:34:14.784,01:34:14.688,01:34:14.664,01:34:14.69","-00:24:13.23,-00:24:13.068,-00:24:13.0752,-00:24:13.446,-00:24:13.1",0.1265,Ia,24.0,3.0,,,3400.0,3400.0
LSQ13dnd,2013/12/13,19.57,2MASX J02562504-2121280,"02:56:25.33,02:56:25.35","-21:21:26.3,-21:21:25.6",0.115,Ia,2.0,1.0,,,0.0,0.0
PSc080261,2010/08/31,19.58,,03:35:11.954,-27:11:47.17,0.1277,Ia,60.0,,,,224.0,224.0
OGLE-2013-SN-097,2013/10/08,19.58,,04:34:33.92,-66:46:42.79,,Ia,27.0,,,,107.0,107.0
SN2005ij,2005/10/21,19.59,SDSS J30421.25-010347.1,"03:04:21.264,03:04:21.3,03:04:21.26","-01:03:46.87,-01:03:47,-01:03:46.44,-01:03:46.656,-01:03:46.836,-01:03:46.6","0.12462,0.124488",Ia,102.0,,,,2078.0,2078.0
OGLE-2013-SN-130,2013/12/01,19.59,,06:36:46.99,-68:52:22.4,0.09,Ia Pec,35.0,1.0,,,1492.0,1591.0
OGLE-2014-SN-204,2014/12/24,19.59,,"05:40:56.45,05:40:56.46",-64:31:31.5,0.1,Ia,25.0,1.0,,,2562.0,2562.0
