"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"SN1991az","1991/09/15","1991/09/14","18","MCG +04-06-29","02:25:14,02:25:14.500,02:25:14.5,02:25:15.61","+24:15.5,+24:15:27.00,+24:15:27.0,+24:15:49.5","0.032","II","1","","2012A&A...538A.120L,1991IAUC.5356....4S,2016A&A...594A..13P,1991IAUC.5356....1M,2011ApJ...737..103S"
"SN1991ba","1991/10/02","1991/10/01","18.5","E244-IG32","01:30:46.90,01:30:46.87,01:30:46.910,01:30:46.91","-42:27:31.9,-42:27:32.13,-42:27:32.00,-42:27:32.0,-42:27:32.1","0.024","II","1","","2012A&A...538A.120L,1991IAUC.5358....2M,2016A&A...594A..13P,1991IAUC.5358....1M,2011ApJ...737..103S"
"SN1991bc","1991/10/12","1991/10/11","16","UGC 2691","03:20:45.66,03:20:45.660","-01:02:47.0,-01:02:47.2,-01:02:47.11,-01:02:47.1","0.02135","Ia","1","3","2012MNRAS.425.1789S,1991IAUC.5366....3R,2012A&A...538A.120L,1996AJ....112.2094G,2016A&A...594A..13P"
"SN1991bd","1991/10/15","1991/10/11","17","UGC 2936","04:02:49.66,04:02:49.661","+01:58:26.4,+01:58:26.3,+01:58:26.40","0.01272","Ia","1","2","2012MNRAS.425.1789S,2012A&A...538A.120L,1991IAUC.5367....3H,1991ESOC...37..721L,2016A&A...594A..13P"
"SN1991bb","1991/10/16","1991/10/12","18","UGC 2892","03:53:35.00,03:53:35.900,03:53:35.9,03:53:37.49","+19:05:54.0,+19:05:52.00,+19:05:52.0,+19:06:19.3","0.02656","Ia","1","2","2012MNRAS.425.1789S,2012A&A...538A.120L,1991IAUC.5365....2L,2016A&A...594A..13P,2011ApJ...737..103S"
"SN1991bf","1991/11/13","1991/11/12","17.5","MCG -05-56-027","23:52:15.36,23:52:15.32,23:52:15.370,23:52:15.37","-29:26:28.9,-29:26:29.12,-29:26:29.11,-29:26:29.1","0.03009","Ia","1","1","2012MNRAS.425.1789S,2012A&A...538A.120L,1991IAUC.5389....4H,2016A&A...594A..13P,1991IAUC.5389....1M"
"SN1991bg","1991/12/03","1991/12/13","13.41","NGC 4374","12:25:03.70,12:25:03.67,12:25:03.710,12:25:03.71,12:15:40.8","+12:52:15.6,+12:52:15.54,+12:52:15.82,+12:52:15.8,+12:52:15.5,+08:14:24","0.003539","Ia Pec","171","31","1996MNRAS.283....1T,1993AJ....105..301L,2012MNRAS.425.1789S,1992AJ....104.1543F,1991ESOC...37..721L"
"SN1991bh","1991/12/07","1991/12/06","18","[M91o] 024216.2+145713.4","02:45:02.00,02:45:02.10,02:45:05.100","+15:09:30.0,+15:09:33.6,+15:10:00.00,+15:10:00.0","0.028","Ia","1","1","2012MNRAS.425.1789S,1991IAUC.5401....3G,2012A&A...538A.120L,2011PhDT.......384S,2016A&A...594A..13P"
"SN1991bi","1991/12/13","1991/12/12","18.5","NGC 5127","13:23:43.97,13:23:43.93,13:23:43.980,13:23:43.98","+31:33:50.9,+31:33:50.69,+31:33:51.08,+31:33:51.1,+31:33:50.7","0.016","Ia","1","","2012A&A...538A.120L,1991IAUC.5404....4M,2016A&A...594A..13P,1991IAUC.5405....1P,2011ApJ...737..103S"
"SN1991K","1991/12/15","1991/02/19","16.5","NGC 2851","09:20:30.37,09:20:30.44,09:20:30.461,09:20:30.46","-16:30:01.9,-16:30:02.39,-16:30:01.80,-16:30:01.8,-16:30:02.4","0.017,0.017","Ia","1","6","2001AJ....121.1648M,2012MNRAS.425.1789S,1998AJ....115.1096G,2012A&A...538A.120L,1991IAUC.5196....3M"
"SN1991bj","1991/12/30","1991/11/30","18.8","IC 344","03:41:30.47,03:41:30.45,03:41:30.480,03:41:30.48","-04:39:49.5,-04:39:49.58,-04:39:49.61,-04:39:49.6","0.01815","Ia-02cx","1","2","2012MNRAS.425.1789S,2012A&A...538A.120L,1992IAUC.5420....2P,1991ESOC...37..721L,2016A&A...594A..13P"
"SN1992A","1992/01/11","1992/01/19","12.62","NGC 1380","03:36:27.41,03:36:27.40,03:36:27.430,03:36:27.43","-34:57:31.4,-34:57:31.59,-34:57:31.50,-34:57:31.5,-34:57:31.6","0.00421,0.00626,0.00473,0.00545,0.00548,0.00421","Ia","62","27","1993ApJ...415..589K,2004MNRAS.349.1344A,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5431....1L"
"SN1992B","1992/01/14","1992/01/13","16.5","A111609+5529","11:16:09.94,11:16:10.08,11:16:09.93,11:16:09.950,11:16:09.95","+55:29:30.4,+55:29:30.84,+55:29:30.14,+55:29:30.59,+55:29:30.6,+55:29:30.1","0.0576,0.055","Ia","1","","2008ApJ...673..999P,1992IAUC.5437....2S,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5437....1P"
"SN1992E","1992/01/27","1992/01/26","20","A063517-5956","06:35:17.09,06:35:17.12,06:35:17.119","-59:56:02.8,-59:56:02.80","0.06","Ia","1","","2012A&A...538A.120L,1992IAUC.5446....3H,2016A&A...594A..13P,1992IAUC.5446....1M,2011ApJ...737..103S"
"SN1992C","1992/01/28","1992/01/27","16.5","NGC 3367","10:46:36.23,10:46:36.200,10:46:36.2,10:46:36.84","+13:44:40.6,+13:44:41.00,+13:44:41.0,+13:44:35.0","0.01","II","1","2","2000AJ....120..367G,2012A&A...538A.120L,1992IAUC.5440....3C,2016A&A...594A..13P,1992IAUC.5440....1V"
"SN1992D","1992/01/28","1992/01/27","19","A060059-2022","06:00:59.86,06:00:59.85,06:00:59.870,06:00:59.87","-20:22:08.8,-20:22:08.86,-20:22:08.80,-20:22:08.9","0.05,0.05","II","1","","1992IAUC.5444....3L,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5444....1M,2011ApJ...737..103S"
"SN1992G","1992/02/09","1992/02/22","13.38","NGC 3294","10:36:18.57,10:36:18.55,10:36:18.509,10:36:18.51","+37:19:16.2,+37:19:15.99,+37:19:13.91,+37:19:13.9,+37:19:16.0","0.00529,0.00629,0.00529","Ia","183","12","1993AJ....106.1101F,2012MNRAS.425.1789S,1998AJ....115.1096G,2012A&A...538A.120L,1992IAUC.5452....4K"
"SN1992H","1992/02/11","1992/02/02","14.06","NGC 5377","13:56:22.26,13:56:22.200,13:56:22.2,13:56:20.49","+47:14:27.4,+47:14:27.00,+47:14:27.0,+47:14:25.2","0.00457,0.00953","II P","132","35","1996AJ....111.1286C,2017MNRAS.467..369S,2000AJ....120..367G,1997ARA&A..35..309F,2012A&A...538A.120L"
"SN1992M","1992/02/25","1992/02/24","18","2MASX J07150996+4525556","07:15:09.63,07:15:09.95,07:15:09.600,07:15:09.6","+45:25:49.7,+45:25:56.59,+45:25:50.00,+45:25:50.0,+45:25:56.6","0.051999","Ia","1","2","2012MNRAS.425.1789S,2012A&A...538A.120L,1992IAUC.5473....3H,2016A&A...594A..13P,1992IAUC.5473....1M"
"SN1992I","1992/02/29","1992/02/28","18","NGC 2565","08:19:46.30,08:19:46.29,08:19:46.301","+22:01:59.8,+22:01:59.72,+22:01:59.92,+22:01:59.9,+22:01:59.7","0.012","II","1","","2012A&A...538A.120L,1992IAUC.5464....2H,2016A&A...594A..13P,1992IAUC.5464....1P,2011ApJ...737..103S"
"SN1992K","1992/03/03","1992/02/22","15.78","ESO 269-G57","13:10:04.20,13:10:04.200","-46:26:30.3,-46:26:30.30","0.01036","Ia","46","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5468....3O,2004MNRAS.349.1344A,2008yCat.2283....0B"
"SN1992J","1992/03/03","1992/02/20","18.43","A100900-2638","10:09:00.30,10:09:00.300","-26:38:24.4,-26:38:24.40","0.0443,0.0505,0.0512,0.0528,0.0531,0.0545,0.0556","Ia","25","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5467....2A,2008MNRAS.389.1577T"
"SN1992bu","1992/03/09","1992/03/08","16.6","NGC 3690","11:28:31.5,11:28:31.4,11:28:31.500,11:28:31.50,11:28:31.40","+58:33:38,+58:33:38.99,+58:33:39.0,+58:33:38.0","0.01","Ib/c?","1","","2012A&A...538A.120L,1994IAUC.5960....3M,2016A&A...594A..13P,1994IAUC.5960....1V,2014MNRAS.444.2428H"
"SN1992N","1992/03/10","1992/03/09","19","IC 4831","19:14:57.36,19:14:57.300,19:14:57.3,19:14:57.19","-62:17:01.5,-62:17:01.00,-62:17:01.0,-62:17:04.6","0.014494,0.014494","II","1","","2012A&A...538A.120L,1992IAUC.5475....4M,2016A&A...594A..13P,1992IAUC.5475....1M,2011ApJ...737..103S"
"SN1992O","1992/03/14","1992/03/09","17.8","A192343-6250","19:23:42.29,19:23:42.290","-62:49:30.1,-62:49:30.11","0.037","Ia","1","","2012A&A...538A.120L,1992IAUC.5476....2T,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S"
"SN1992P","1992/04/03","1992/04/07","16.13","IC 3690","12:42:48.93,12:42:48.95,12:42:48.950","+10:21:36.2,+10:21:37.5,+10:21:37.51","0.0265,0.0254,0.0257,0.0265,0.0284","Ia","28","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5491....4K,2004ApJ...607..665R,2009ApJ...700.1097H"
"SN1992R","1992/04/08","1992/04/07","18","MCG +10-24-07","16:37:09.41,16:37:09.400,16:37:09.4,16:37:10.40","+58:10:00.9,+58:10:01.00,+58:10:01.0,+58:10:00.5","0.05,0.052","Ia","1","","2012A&A...538A.120L,1992IAUC.5494....2H,2016A&A...594A..13P,1992IAUC.5494....1M,2011ApJ...737..103S"
"SN1992U","1992/04/09","1992/06/03","18.2","ESO 074-G004","20:40:46.55,20:40:46.56,20:40:46.500,20:40:46.5,20:40:45.51","-70:41:33.3,-70:41:33.36,-70:41:33.00,-70:41:33.0,-70:41:37.8","0.010919,0.010919","II P","28","","2016AJ....151...33G,2012A&A...538A.120L,1992IAUC.5499....3P,2016A&A...594A..13P,1992IAUC.5499....1M"
"SN1992T","1992/04/09","1992/04/14","18","2MASX J13425875-3153105","13:43:01.51,13:43:01.44,13:43:01.500,13:43:01.5,13:43:00.31","-31:53:35.5,-31:53:35.52,-31:53:36.00,-31:53:36.0,-31:53:06.0","0.03898,0.03988","II P","17","","2016AJ....151...33G,2012A&A...538A.120L,1992IAUC.5496....3D,2016A&A...594A..13P,1992IAUC.5496....1M"
"SN1992bi","1992/04/21","1992/04/29","22.13","A161012+3947","16:10:12.79,16:10:12.799,16:10:12.80","+39:47:12.5,+39:47:12.53,+39:47:12.59,+39:47:12.6","0.458,0.458","Ia","5","","2008ApJ...686..749K,2012A&A...538A.120L,1992IAUC.5652....3S,2016A&A...594A..13P,1992IAUC.5652....1P"
"SN1992V","1992/04/22","1992/04/21","18","PGC 41858","12:34:45.94,12:34:45.90,12:34:45.941","+14:33:34.8,+14:33:34.63,+14:33:34.88,+14:33:34.9,+14:33:34.6","0.047","Ia","1","","2012A&A...538A.120L,1992IAUC.5507....4K,2016A&A...594A..13P,1992IAUC.5507....1P,2011ApJ...737..103S"
"SN1992aa","1992/05/10","1992/05/09","18","NGC 6464","17:45:47.29,17:45:47.20,17:45:47.309,17:45:47.31","+60:53:38.9,+60:53:38.85,+60:53:39.01,+60:53:39.0,+60:53:38.8","0.033","II","1","3","2000AJ....120..367G,2012A&A...538A.120L,1992IAUC.5534....3P,2016A&A...594A..13P,1992IAUC.5652....1B"
"SN1992Z","1992/05/29","1992/05/28","19","A132854-3001","13:28:57.28,13:28:57.300,13:28:57.3,13:28:54.23","-30:00:43.1,-30:00:43.00,-30:00:43.0,-30:00:56.0","","II","1","","1992IAUC.5533....4W,2012A&A...538A.120L,1992IAUC.5533....1H,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992ac","1992/05/30","1992/05/29","17","MCG +10-24-07","16:37:09.400,16:37:09.4,16:37:10.43","+58:10:01.00,+58:10:01.0,+58:10:04.5","0.05,0.052","Ia","1","3","1998AJ....115.1096G,2012A&A...538A.120L,1992IAUC.5543....2G,2016A&A...594A..13P,2011ApJ...737..103S"
"SN1992ab","1992/06/01","1992/05/31","17","NGC 6389","17:32:45.18,17:32:45.12,17:32:45.190,17:32:45.19","+16:23:45.9,+16:23:45.87,+16:23:45.89","0.01","II","1","3","2000AJ....120..367G,2012A&A...538A.120L,1992IAUC.5534....3P,2016A&A...594A..13P,1992IAUC.5652....1B"
"SN1992ae","1992/06/27","1992/06/30","18.47","A212817-6133","21:28:17.94,21:28:17.66,21:28:17.659","-61:33:01.4,-61:33:00.0,-61:33:00.00","0.0746,0.0755,0.0792,0.0801,0.0832,0.0837","Ia","31","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,2014ApJ...795...44R,1992IAUC.5554....3B"
"SN1992ah","1992/06/27","1992/06/26","17","2MASX J17374476+1254168","17:37:44.50,17:37:42.000,17:37:42.00,17:37:40.29","+12:54:21.0,+12:54:00.00,+12:54:00.0,+12:53:52.0","0.0218","Ia","1","2","2012MNRAS.425.1789S,1992IAUC.5559....2G,1991ESOC...37..721L,2012A&A...538A.120L,2011PhDT.......384S"
"SN1992af","1992/06/29","1992/07/04","16.18","ESO 340-G038","20:30:40.25,20:30:40.32,20:30:42.000,20:30:42.00,20:30:39.73","-42:18:35.2,-42:18:35.28,-42:19:00.00,-42:19:00.0,-42:18:36.0","0.01847,0.01788","II P","147","5","2016AJ....151...33G,2001PhDT.......173H,2017ApJ...850...89G,2014ApJ...786...67A,2012A&A...538A.120L"
"SN1992ag","1992/06/29","1992/07/03","16.43","ESO 508-G67","13:24:09.85,13:24:10.12,13:24:10.121","-23:52:43.7,-23:52:39.3,-23:52:39.29","0.0262,0.0248,0.0261","Ia","46","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5555....4W,2009ApJ...700.1097H,2016A&A...594A..13P"
"SN1992ad","1992/07/01","1992/07/03","13.77","NGC 4411B","12:26:49.59,12:26:49.68,12:26:49.630,12:26:49.63","+08:52:38.7,+08:52:38.712,+08:52:38.17,+08:52:38.39,+08:52:38.4,+08:52:38.2","0.00424,0.00537","II","31","2","2016AJ....151...33G,2017MNRAS.467..369S,2012A&A...538A.120L,2014ApJ...786...67A,1992IAUC.5552....3G"
"SN1992ai","1992/07/05","1992/07/04","17.5","A012908-3216","01:29:08.07,01:29:08.04,01:29:08.040","-32:16:29.5,-32:16:30.0,-32:16:30.00","0.061","Ia","1","","2012A&A...538A.120L,1992IAUC.5564....4L,2016A&A...594A..13P,1992IAUC.5564....1M,2011ApJ...737..103S"
"SN1992aj","1992/07/05","1992/07/04","17","A234748-3511","23:47:49.75,23:47:47.100,23:47:48.73","-35:11:53.3,-35:12:00.00,-35:12:00.0,-35:10:55.0","","II","1","","1992IAUC.5564....4L,2012A&A...538A.120L,1992IAUC.5564....1M,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992am","1992/07/26","1992/08/13","18.04","MCG -01-04-039","01:25:02.76,01:25:02.700,01:25:02.7,01:25:03.03","-04:39:00.9,-04:39:00.936,-04:39:01.00,-04:39:01.0,-04:39:00.6","0.04799,0.04698","II P","72","2","2016AJ....151...33G,2001PhDT.......173H,2017ApJ...850...89G,2012A&A...538A.120L,2014ApJ...786...67A"
"SN1992aq","1992/07/26","1992/08/01","19.27","A230434-3720","23:04:34.76,23:04:34.759","-37:20:42.1,-37:20:42.11","0.1009","Ia","42","","1996AJ....112.2408H,2012A&A...538A.120L,2014ApJ...795...44R,1992IAUC.5574....3G,2016A&A...594A..13P"
"SN1992an","1992/07/26","1992/07/25","18","A133748-3041","13:37:48.88,13:37:48.900,13:37:48.9,13:37:48.50","-30:41:32.0,-30:41:32.00,-30:40:54.5","0.051","II","1","","2012A&A...538A.120L,1992IAUC.5571....3H,2016A&A...594A..13P,1992IAUC.5570....1P,2011ApJ...737..103S"
"SN1992al","1992/07/27","1992/08/03","14.6","ESO 234-G69","20:45:56.49,20:45:56.45,20:45:56.489","-51:23:39.9,-51:23:40.0,-51:23:39.98","0.0141,0.0132,0.0138,0.0135,0.0137,0.0157","Ia","84","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5569....2C,2016A&A...594A..13P,2000ApJ...540..634P"
"SN1992ar","1992/07/27","1992/08/01","20.11","A231728-4438","23:17:28.40,23:17:30.000,23:17:30.00","-44:38:53.8,-44:38:53.81,-44:39:00.00,-44:39:00.0","0.145,0.14","Ic","22","","2000ApJ...529..661C,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5574....3G,2008yCat.2283....0B"
"SN1992ao","1992/07/28","1992/07/27","17","NGC 7637","23:26:52.95,23:26:52.91,23:26:52.990,23:26:52.99","-81:53:44.8,-81:53:45.01,-81:53:44.92,-81:53:44.9,-81:53:45.0","0.012","II","1","","2012A&A...538A.120L,1992IAUC.5573....2B,2016A&A...594A..13P,1992IAUC.5573....1M,2011ApJ...737..103S"
"SN1992au","1992/07/29","1992/07/28","18.49","A001040-4956","00:10:40.48,00:10:40.27,00:10:40.270","-49:56:45.3,-49:56:43.3,-49:56:43.30","0.0617,0.0696,0.0733,0.0801","Ia","23","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,2008MNRAS.389.1577T,1992IAUC.5584....4K"
"SN1992ap","1992/07/29","1992/07/28","18","UGC 10430","16:30:27.33,16:30:30.000,16:30:30.00,16:30:27.50","+41:29:16.1,+41:28:60.00,+41:29:00.0,+41:29:18.2","0.02988","Ia","1","1","2012MNRAS.425.1789S,1992IAUC.5573....2B,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5573....1B"
"SN1992as","1992/08/01","1992/07/31","18.5","A210354-4438","21:03:57.15,21:03:54.000","-44:38:50.08,-44:39:00.00","0.025,0.025","II","1","2","2012A&A...538A.120L,1992IAUC.5575....3J,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992at","1992/08/02","1992/08/03","18","A212709-3659","21:27:09.20,21:27:09.14,21:27:09.199","-36:59:58.2,-36:59:58.39,-36:59:58.42,-36:59:58.4","","Ia","1","","1992IAUC.5577....3H,2012A&A...538A.120L,1992IAUC.5577....1M,2011ApJ...737..103S,2008yCat....1.2024B"
"AT1992bw","1992/08/08","1992/08/07","17.6","UGC 43","00:06:02.553","+14:24:50.72","0.017773","Candidate","1","","2016A&A...594A..13P"
"SN1992av","1992/08/24","1992/08/20","20","A174304+6749","17:43:04.85,17:43:04.75,17:43:04.879,17:43:04.88","+67:49:07.1,+67:49:07.02,+67:49:07.10,+67:49:07.0","","Ia","1","","1992IAUC.5595....3W,2012A&A...538A.120L,1992IAUC.5595....1P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992aw","1992/08/27","1992/08/26","18","A190654+5103","19:06:55.17,19:06:55.10,19:06:55.190,19:06:55.19","+51:02:55.1,+51:02:55.10,+51:02:55.00,+51:02:55.0","0.036","II","1","","2012A&A...538A.120L,1992IAUC.5606....3M,2016A&A...594A..13P,1992IAUC.5633....1B,2011ApJ...737..103S"
"SN1992ax","1992/09/03","1992/09/02","18.5","A221027+4502","22:10:27.14,22:10:27.08,22:10:27.151,22:10:27.15","+45:02:32.2,+45:02:32.36,+45:02:31.99,+45:02:32.0,+45:02:32.4","","I","1","","1992IAUC.5607....2M,2012A&A...538A.120L,1992IAUC.5652....1B,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992ay","1992/09/20","1992/09/19","18.5","A043019-4624","04:30:19.63,04:30:19.0,04:30:19.099,04:30:19.10,04:30:19.00","-46:24:00.6,-46:24:07,-46:24:06.98,-46:24:07.0","0.062","II","1","","2012A&A...538A.120L,1992IAUC.5619....3W,2016A&A...594A..13P,1992IAUC.5619....1M,2011ApJ...737..103S"
"SN1992az","1992/09/29","1992/09/26","18","NGC 818","02:08:46.97,02:08:46.970","+38:46:21.5,+38:46:21.47,+38:46:21.29,+38:46:21.3","0.014","II","1","","2012A&A...538A.120L,1992IAUC.5625....2E,2016A&A...594A..13P,1992IAUC.5625....1P,2011ApJ...737..103S"
"SN1992ba","1992/09/30","1992/09/29","14","NGC 2082","05:41:47.10,05:41:47.112,05:41:47.14,05:41:47.160,05:41:47.16","-64:18:00.7,-64:18:00.72,-64:18:00.87,-64:18:00.79,-64:18:00.8,-64:18:00.9","0.00395,0.00415","II P","118","10","2017ApJ...850...89G,2016AJ....151...33G,2001PhDT.......173H,2014ApJ...786...67A,2012A&A...538A.120L"
"SN1992bb","1992/09/30","1992/09/29","17.5","IRAS21156-0747","21:18:14.85,21:18:14.86,21:18:14.861","-07:35:03.4,-07:35:03.5,-07:35:03.52","0.029","Ia","1","","2012A&A...538A.120L,1992IAUC.5629....1H,2016A&A...594A..13P,1992IAUC.5629....1M,2011ApJ...737..103S"
"SN1992be","1992/09/30","1992/09/29","17","A040232+2747","04:02:32.69,04:02:32.690","+27:47:14.5,+27:47:14.4,+27:47:14.39","","II","1","","1992IAUC.5640....3G,2012A&A...538A.120L,1992IAUC.5640....1M,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1992bf","1992/10/02","1992/10/01","17","NGC 930","02:27:55.13,02:27:55.100,02:27:55.35","+20:19:45.2,+20:19:45.00,+20:19:45.0,+20:19:46.5","0.014","Ia Pec","1","","2012A&A...538A.120L,1992IAUC.5642....3G,2016A&A...594A..13P,1992IAUC.5642....1M,2014MNRAS.444.2428H"
"SN1992bc","1992/10/04","1992/10/17","15.12","ESO 300-G9","03:05:16.05,03:05:17.28,03:05:17.280","-39:33:34.6,-39:33:39.7,-39:33:39.71","0.0186,0.0179,0.0208,0.0194,0.0202,0.0234","Ia","145","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5630....3G,2016A&A...594A..13P,2004ApJ...607..665R"
"SN1992bd","1992/10/12","1992/10/11","15","NGC 1097","02:46:18.98,02:46:18.900,02:46:18.9,02:46:19.23","-30:16:28.9,-30:16:30.00,-30:16:30.0,-30:16:39.1","0.0042","II","1","","2012A&A...538A.120L,1992IAUC.5638....2R,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S"
"SN1992bj","1992/10/17","1992/10/16","18","A232150+2509","23:21:50.85,23:21:50.86,23:21:50.861","+25:09:33.7,+25:09:33.6,+25:09:33.59","0.056","II","1","","2012A&A...538A.120L,1992IAUC.5656....3C,2016A&A...594A..13P,1992IAUC.5656....1P,2011ApJ...737..103S"
"SN1992bg","1992/10/21","1992/10/19","17.33","A074156-6231","07:41:56.55,07:41:56.53,07:41:56.530","-62:31:10.0,-62:31:08.8,-62:31:08.80","0.0282,0.0289,0.0344,0.0418","Ia","47","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,2000ApJ...540..634P,1992IAUC.5645....2N"
"SN1992bh","1992/10/21","1992/10/25","17.6","A045927-5849","04:59:27.55,04:59:27.550","-58:49:44.2,-58:49:44.18","0.0443,0.0419,0.0547,0.0556,0.0561,0.0575","Ia","39","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5645....2N,2008MNRAS.389.1577T"
"SN1992bl","1992/11/19","1992/11/21","17.37","ESO 291-G11","23:15:13.09,23:15:13.25,23:15:13.250","-44:44:35.7,-44:44:34.5,-44:44:34.51","0.0424,0.0422,0.0498,0.0515,0.0519","Ia","36","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5660....2A,2016A&A...594A..13P,2000ApJ...540..634P"
"SN1992bk","1992/11/19","1992/11/13","18.37","ESO 156-G8","03:43:01.90,03:43:01.901","-53:37:56.8,-53:37:56.78","0.0587,0.0575,0.0668,0.0696,0.0719","Ia","28","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5660....2A,2016A&A...594A..13P,2009ApJ...700.1097H"
"AT1992bv","1992/11/19","1992/11/18","16.8","IC 1908","03:15:05.472","-54:49:16.40","0.0275","Candidate","1","","2016A&A...594A..13P"
"SN1992bm","1992/11/25","1992/11/24","18","A073318+5028","07:33:18.89,07:33:18.88,07:33:18.881","+50:28:09.2,+50:28:09.4,+50:28:09.30,+50:28:09.3","0.05","II","1","","2012A&A...538A.120L,1992IAUC.5672....3G,2016A&A...594A..13P,1992IAUC.5672....1M,2011ApJ...737..103S"
"SN1992bt","1992/12/19","1992/12/18","16","NGC 3780","11:39:19.76,11:39:19.68,11:39:19.759","+56:16:15.9,+56:16:15.96,+56:16:15.89","0.00841,0.00841","II P?","1","1","1993IAUC.5841....2T,2017MNRAS.467..369S,2012A&A...538A.120L,2008ApJ...673..999P,2016A&A...594A..13P"
"SN1992bo","1992/12/20","1992/12/29","15.76","ESO 352-G57","01:21:58.44,01:21:58.440","-34:12:43.5,-34:12:43.49","0.01851","Ia","77","","1996AJ....112.2408H,2012A&A...538A.120L,1992IAUC.5682....2M,2009ApJ...700.1097H,2007ApJ...666..694W"
"SN1992bp","1992/12/20","1992/12/24","18.54","A033637-1821","03:36:37.95,03:36:37.949","-18:21:13.7,-18:21:13.72","0.0789,0.0726,0.0766,0.0794","Ia","58","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1992IAUC.5682....2M,2014ApJ...795...44R"
"SN1992br","1992/12/27","1992/12/24","19.42","A014544-5605","01:45:44.83,01:45:44.830","-56:05:57.9,-56:05:57.91","0.0893,0.109,0.124","Ia","22","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5686....2M,2008MNRAS.389.1577T"
"SN1992bs","1992/12/28","1992/12/29","18.28","A032927-3716","03:29:27.20,03:29:27.199","-37:16:18.9,-37:16:18.91","0.0628,0.0634,0.0801,0.0813","Ia","36","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5686....2M,2008MNRAS.389.1577T"
"SN1993A","1993/01/17","1993/01/16","18.5","2MASX J07391822-6203095","07:39:17.3,07:39:17.28,07:38:38.400,07:38:38.4,07:39:17.22","-62:03:14,-62:03:14.4,-61:56:11.00,-61:56:11.0,-62:03:03.5","0.0293,0.02978","II P","102","2","2016AJ....151...33G,2001PhDT.......173H,2017ApJ...850...89G,2014ApJ...786...67A,2012A&A...538A.120L"
"SN1993B","1993/01/17","1993/01/17","18.66","A103451-3426","10:34:51.38,10:34:51.379","-34:26:30.0,-34:26:30.01","0.0708,0.0691,0.0762,0.0766,0.0787,0.0799","Ia","41","","1996AJ....112.2408H,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5693....2G,2014ApJ...795...44R"
"SN1993C","1993/01/27","1993/01/26","18","NGC 2954","09:40:23.79,09:40:23.820,09:40:23.82","+14:56:11.2,+14:56:11.24,+14:56:11.51,+14:56:11.5","0.01274","Ia","1","3","2012MNRAS.425.1789S,2012A&A...538A.120L,1993IAUC.5699....4N,2016A&A...594A..13P,2008yCat.2283....0B"
"SN1993E","1993/01/27","1993/01/26","19","PGC 27842","09:43:44.15,09:43:44.16,09:43:44.150","+49:17:55.7,+49:17:56.04,+49:17:55.9,+49:17:55.79,+49:17:55.8","0.0251,0.025","II","1","","2008ApJ...673..999P,1993IAUC.5709....2G,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5703....1M"
"SN1993D","1993/02/01","1993/01/31","18","ESO 571-G3","11:28:58.80,11:28:58.81,11:28:58.800","-22:29:06.5,-22:29:06.2,-22:29:06.29,-22:29:06.3","0.027","Ia","1","","2012A&A...538A.120L,1993IAUC.5703....3G,2016A&A...594A..13P,1993IAUC.5703....1M,2011ApJ...737..103S"
