"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"PTF10tpz","2010","2010/09/02","","","21:58:31.74","-15:33:02.6","0.04","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10yyc","2010","2010/11/13","","","04:39:17.297","-00:20:54.50,-00:20:54.5","0.2147","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10bgl","2010/01/01","2010/01/13","18.71","NGC 3191","10:19:04.70,10:19:04.697","+46:27:23.3,+46:27:23.34","0.03,0.03","II","67","","2016ApJ...820...33R,2016A&A...594A..13P,2010ApJ...721..777A,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10bfz","2010/01/01","2010/01/31","18.49","","12:54:41.27,12:54:41.288","+15:24:17.0,+15:24:17.08","0.1701,0.1699","SLSN-I","61","6","2017arXiv170801623D,2012PASP..124..668Y,2018ApJ...855....2Q,2016ApJ...830...13P,2016A&A...594A..13P"
"PTF10fj","2010/01/01","2010/01/05","18.25","","13:03:59.15,13:03:59.04","+38:11:59.1,+38:11:59.28","0.05","Ia","26","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF10px","2010/01/02","2010/01/12","17.9","","13:17:45.04,13:17:45.12","-15:30:06.7,-15:30:06.84","0.038293","Ia","19","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc000022","2010/01/03","2010/01/10","22.54","","02:24:34.669","-04:23:41.75","0.25272","Ia","9","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2010A","2010/01/04","2010/01/03","15.1","UGC 2019","02:32:39.46,02:32:39.459","+00:37:10.2,+00:37:09.90","0.020698","Ia","30","1","2012ApJS..200...12H,2012A&A...538A.120L,2010CBET.2109....1C,2016A&A...594A..13P,2008yCat....1.2024B"
"PTF10bhw","2010/01/05","2010/02/26","19.39","","14:09:55.13,14:09:55.2","+08:50:57.7,+08:50:57.696","0.11","Ia","23","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc000268","2010/01/06","2010/02/05","22.75","","08:48:04.057","+43:55:12.43","0.64037","Ia","13","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
