,Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
55,ASASSN-14ig,2014-09-21,NUV,1h16m04.95s,-61d37m16.6s,1,1,0,4014,-4014,nan,ASASSN-14ig-NUV.fits.gz
56,ASASSN-14ih,2014-09-19,FUV,22h34m29.81s,-24d39m52.4s,3,3,0,3620,-2575,nan,ASASSN-14ih-FUV.fits.gz
57,ASASSN-14ih,2014-09-19,NUV,22h34m29.81s,-24d39m52.4s,3,3,0,3620,-2575,nan,ASASSN-14ih-NUV.fits.gz
58,ASASSN-14ii,2014-09-22,FUV,22h16m40.78s,-36d09m39.9s,2,2,0,2599,-2579,nan,ASASSN-14ii-FUV.fits.gz
59,ASASSN-14ii,2014-09-22,NUV,22h16m40.78s,-36d09m39.9s,2,2,0,2599,-2579,nan,ASASSN-14ii-NUV.fits.gz
60,ASASSN-14in,2014-10-04,FUV,18h24m29.61s,52d26m32.8s,2,2,0,2949,-2943,nan,ASASSN-14in-FUV.fits.gz
61,ASASSN-14in,2014-10-04,NUV,18h24m29.61s,52d26m32.8s,2,2,0,2949,-2943,nan,ASASSN-14in-NUV.fits.gz
62,ASASSN-14iu,2014-10-12,FUV,9h10m39.53s,50d22m48.26s,1,1,0,2793,-2793,nan,ASASSN-14iu-FUV.fits.gz
63,ASASSN-14iu,2014-10-12,NUV,9h10m39.53s,50d22m48.26s,2,2,0,2842,-2793,nan,ASASSN-14iu-NUV.fits.gz
64,ASASSN-14jc,2014-10-19,FUV,7h35m35.288s,-62d46m12.64s,2,2,0,2786,-2786,nan,ASASSN-14jc-FUV.fits.gz
65,ASASSN-14jc,2014-10-19,NUV,7h35m35.288s,-62d46m12.64s,2,2,0,2786,-2786,nan,ASASSN-14jc-NUV.fits.gz
66,ASASSN-14jg,2014-10-21,NUV,23h33m13.9s,-60d34m11.5s,4,4,0,3741,-1106,nan,ASASSN-14jg-NUV.fits.gz
67,ASASSN-14jz,2014-11-10,FUV,18h44m44.34s,-52d48m05.48s,2,2,0,3021,-3004,nan,ASASSN-14jz-FUV.fits.gz
68,ASASSN-14jz,2014-11-10,NUV,18h44m44.34s,-52d48m05.48s,2,2,0,3021,-3004,nan,ASASSN-14jz-NUV.fits.gz
